Code	Name	AHo	AHp	AHq	AHr	CCD	CCO	HST	ITR	NS	QQ	QR	SCL	WCd	WCr	WC	W
11:374:115	WATER AND SOCIETY						✓						✓				
11:374:250	ENVIRONMENTAL JUSTICE					✓											
11:374:279	POLITICS OF ENVIRONMENTAL ISSUES						✓						✓				
11:375:101	INTRODUCTION TO ENVIRONMENTAL SCIENCE						✓			✓							
11:375:310	ANALYTICAL ENVIRONMENTAL CHEMISTRY LABORATORY								✓					✓			
11:400:104	FOOD AND HEALTH									✓							
11:400:106	FOOD AS MEDICINE									✓							
11:400:107	FOODS: FROM FIELD TO TABLE						✓										
11:550:101	LANDSCAPE STUDIES		✓					✓									
11:550:133	ARCHITECTURAL DESIGN				✓												
11:550:237	LANDSCAPE DRAWING & DRAFTING				✓												
11:550:301	SOCIAL AND CULTURAL ASPECTS OF DESIGN													✓			
11:573:202	ENVIRONMENTAL ISSUES IN US						✓							✓			
11:573:232	FUNDAMENTALS OF GEOMATICS								✓								
11:628:114	SCIENCE, PSEUDO-SCIENCE, AND SOCIETY						✓			✓							
11:628:120	INTRODUCTION TO OCEANOGRAPHY						✓			✓							
11:628:204	THE WATER PLANET						✓			✓							
11:670:101	INTRODUCTION TO METEOROLOGY								✓	✓							
11:670:102	INTRODUCTION TO CLIMATE SCIENCE									✓							
11:680:101	LIVING IN THE MICROBIAL WORLD						✓			✓							
11:709:201	CULINARY NUTRITION									✓							
11:709:255	NUTRITION AND HEALTH						✓			✓							
11:776:170	PLANTS & PEOPLE									✓							
11:776:242	PLANT SCIENCE									✓							
19:910:503	SOCIAL WORK WITH LATINOS																✓
37:575:100	INTRODUCTION TO LABOR STUDIES AND EMPLOYMENT RELATIONS												✓				
37:575:110	WORK & SOCIETY						✓						✓				
37:575:201	U.S. LABOR AND WORK BEFORE THE END OF RECONSTRUCTION							✓					✓	✓	✓		
37:575:202	HISTORY OF LABOR AND WORK IN THE U.S. 1880 TO 1945							✓					✓	✓	✓		
37:575:215	YOUTH AND WORK					✓							✓				
37:575:230	PEOPLE, WORK & ORG												✓				
37:575:250	FINANCE PERS & PROF										✓	✓					
37:575:300	WRITING IN LABOR STUDIES & EMPLOYMENT RELATIONS													✓	✓		
37:575:301	LABOR AND DEMOCRACY						✓										
37:575:303	BLACK WORKERS IN AMERICAN SOCIETY					✓							✓				
37:575:307	LATINO WORKERS IN THE UNITED STATES					✓											
37:575:309	WORKING WOMEN IN AMERICAN SOCIETY					✓							✓				
37:575:363	LABOR AND THE GLOBAL ECONOMY					✓											
37:624:364	DIVERSITY & INCLUSION					✓											
